SiteID,Species,ObservationDate,Count,SourceFile
201,Red Fox,2025-08-01,1,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-01,1,Wildlife_Aug2025.csv
201,Raccoon,2025-08-01,1,Wildlife_Aug2025.csv
201,Red Fox,2025-08-04,2,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-04,2,Wildlife_Aug2025.csv
201,Raccoon,2025-08-04,2,Wildlife_Aug2025.csv
201,Red Fox,2025-08-07,3,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-07,3,Wildlife_Aug2025.csv
201,Raccoon,2025-08-07,3,Wildlife_Aug2025.csv
201,Red Fox,2025-08-10,4,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-10,4,Wildlife_Aug2025.csv
201,Raccoon,2025-08-10,4,Wildlife_Aug2025.csv
201,Red Fox,2025-08-13,5,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-13,5,Wildlife_Aug2025.csv
201,Raccoon,2025-08-13,5,Wildlife_Aug2025.csv
201,Red Fox,2025-08-16,1,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-16,1,Wildlife_Aug2025.csv
201,Raccoon,2025-08-16,1,Wildlife_Aug2025.csv
201,Red Fox,2025-08-19,2,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-19,2,Wildlife_Aug2025.csv
201,Raccoon,2025-08-19,2,Wildlife_Aug2025.csv
201,Red Fox,2025-08-22,3,Wildlife_Aug2025.csv
201,Bald Eagle,2025-08-22,3,Wildlife_Aug2025.csv
201,Raccoon,2025-08-22,3,Wildlife_Aug2025.csv
